"BEST.ZCH1_SOLL";"BEST.ZCH2_SOLL";"BEST.ZCH3_SOLL";"BEST.GESAMT_SOLL";"BEST.ZCH1_IST";"BEST.ZCH2_IST";"BEST.ZCH3_IST";"BEST.GESAMT_IST";"BEST.ZFW";"BEST.ZFW_NEW";"BEST.MIN_REL";"INDEX";"CORRECT_ZFW";"ERR_BEST_ZFW";"CORRECT_T1";"ERR_BEST_T1"
6;4;1;11;2;2;1;5;3,66666666666667;3,27610138241971;0,333;2839;TRUE;NA;TRUE;NA
6;4;1;11;3;2;1;6;2,5;3,31295870894775;0,5;3933;TRUE;NA;TRUE;NA
6;4;1;11;3;3;1;7;1,75;3,32003467507481;0,5;4853;TRUE;NA;TRUE;NA
6;4;1;11;4;3;1;8;0,916666666666667;3,32711064120187;0,667;5918;TRUE;NA;TRUE;NA
6;4;1;11;5;3;1;9;0,416666666666667;3,32846910372067;0,75;6871;TRUE;NA;TRUE;NA
6;4;1;11;5;4;1;10;0,166666666666667;3,32906432523151;0,833;7531;TRUE;NA;TRUE;NA
6;4;1;11;6;4;1;11;0;3,32932512642556;1;8142;TRUE;NA;TRUE;NA
7;2;2;11;0;0;0;0;11;0;0;65;TRUE;NA;TRUE;NA
7;2;2;11;0;0;1;1;9,5;1;0;151;TRUE;NA;TRUE;NA
7;2;2;11;0;1;1;2;8;2;0;458;TRUE;NA;TRUE;NA
7;2;2;11;1;1;1;3;6,14285714285714;3;0,143;1146;TRUE;NA;TRUE;NA
7;2;2;11;2;1;1;4;4,57142857142857;3,24302618535723;0,286;2022;TRUE;NA;TRUE;NA
7;2;2;11;3;1;1;5;3,28571428571429;3,30208791212652;0,429;3036;TRUE;NA;TRUE;NA
7;2;2;11;4;1;1;6;2,28571428571429;3,31644145828387;0,5;4129;TRUE;NA;TRUE;NA
7;2;2;11;4;2;1;7;1,78571428571429;3,32351742441093;0,5;5041;TRUE;NA;TRUE;NA
7;2;2;11;4;2;2;8;1,28571428571429;3,330593390538;0,571;5857;TRUE;NA;TRUE;NA
7;2;2;11;5;2;2;9;0,571428571428571;3,33408167810697;0,714;6815;TRUE;NA;TRUE;NA
7;2;2;11;6;2;2;10;0,142857142857143;3,33492942332828;0,857;7603;TRUE;NA;TRUE;NA
7;2;2;11;7;2;2;11;0;3,33513544761557;1;8189;TRUE;NA;TRUE;NA
7;3;1;11;0;0;0;0;11;0;0;64;TRUE;NA;TRUE;NA
7;3;1;11;0;0;1;1;10;1;0;150;TRUE;NA;TRUE;NA
7;3;1;11;0;1;1;2;8,33333333333333;2;0;457;TRUE;NA;TRUE;NA
7;3;1;11;1;1;1;3;6,47619047619048;3;0,143;1145;TRUE;NA;TRUE;NA
7;3;1;11;2;1;1;4;4,90476190476191;3,24302618535723;0,286;2021;TRUE;NA;TRUE;NA
7;3;1;11;3;1;1;5;3,61904761904762;3,30208791212652;0,333;3035;TRUE;NA;TRUE;NA
7;3;1;11;3;2;1;6;2,61904761904762;3,33894523865456;0,429;3931;TRUE;NA;TRUE;NA
7;3;1;11;4;2;1;7;1,61904761904762;3,35329878481191;0,571;5040;TRUE;NA;TRUE;NA
7;3;1;11;5;2;1;8;0,904761904761905;3,35678707238088;0,667;6095;TRUE;NA;TRUE;NA
7;3;1;11;5;3;1;9;0,571428571428571;3,35814553489968;0,714;6870;TRUE;NA;TRUE;NA
7;3;1;11;6;3;1;10;0,142857142857143;3,35899328012099;0,857;7648;TRUE;NA;TRUE;NA
7;3;1;11;7;3;1;11;0;3,35919930440829;1;8221;TRUE;NA;TRUE;NA
8;2;1;11;0;0;0;0;11;0;0;63;TRUE;NA;TRUE;NA
8;2;1;11;0;0;1;1;10;1;0;149;TRUE;NA;TRUE;NA
8;2;1;11;0;1;1;2;8,5;2;0;456;TRUE;NA;TRUE;NA
8;2;1;11;1;1;1;3;6,625;3;0,125;1144;TRUE;NA;TRUE;NA
8;2;1;11;2;1;1;4;5;3,29003234654004;0,25;2020;TRUE;NA;TRUE;NA
8;2;1;11;3;1;1;5;3,625;3,37415110857956;0,375;3034;TRUE;NA;TRUE;NA
8;2;1;11;4;1;1;6;2,5;3,39854827052193;0,5;4127;TRUE;NA;TRUE;NA
8;2;1;11;4;2;1;7;2;3,40562423664899;0,5;5039;TRUE;NA;TRUE;NA
8;2;1;11;5;2;1;8;1,125;3,41270020277605;0,625;6094;TRUE;NA;TRUE;NA
8;2;1;11;6;2;1;9;0,5;3,41475246183592;0,75;7016;TRUE;NA;TRUE;NA
8;2;1;11;7;2;1;10;0,125;3,41534768334676;0,875;7751;TRUE;NA;TRUE;NA
